word,meaning,example,ipa,level,category
practical,class where you do the work yourself,The chemistry practical is in the lab.,ˈpræktɪkəl,2,academic
viva,oral exam where you answer questions,My viva is with two examiners.,ˈvaɪvə,3,academic
lecturer,college teacher who gives lectures,The lecturer posted extra reading.,ˈlektʃərə,2,academic
tutor,person who gives extra teaching,A tutor is helping me with accounts.,ˈtjuːtə,2,academic
principal,head of a school or college,The principal will sign the bonafide letter.,ˈprɪnsəpəl,2,academic
library,place where you borrow books,The library is quiet after lunch.,ˈlaɪbrəri,1,academic
textbook,main book used for a course,The textbook has the sample papers.,ˈtekstbʊk,2,academic
chapter,one main part of a book,Read chapter four before the class.,ˈtʃæptə,1,academic
paragraph,group of sentences on one idea,Write one paragraph on the graph.,ˈpærəɡrɑːf,2,academic
essay,short piece of writing on a topic,The essay should be about three pages.,ˈeseɪ,2,academic
article,piece of writing in a paper or journal,We must read one article this week.,ˈɑːtɪkəl,2,academic
journal,magazine of research papers,This journal is available in the library.,ˈdʒɜːnəl,3,academic
paper,written exam or research article,The accounts paper is in the morning.,ˈpeɪpə,1,academic
citation,note that shows where an idea came from,Add a citation for every number you use.,saɪˈteɪʃən,4,academic
bibliography,list of books and papers you used,Put the bibliography on the last page.,ˌbɪbliˈɒɡrəfi,4,academic
plagiarism,using someone's words as your own,Plagiarism can cancel your assignment marks.,ˈpleɪdʒərɪzəm,4,academic
outline,simple plan of what you will write,Make an outline before the essay.,ˈaʊtlaɪn,2,academic
abstract,short summary at the start of a paper,The abstract should be under two hundred words.,ˈæbstrækt,4,academic
conclusion,final part that closes your argument,The conclusion should answer the question.,kənˈkluːʒən,3,academic
argument,reasoned point you try to prove,Give one clear argument in each paragraph.,ˈɑːɡjəmənt,3,academic
evidence,facts that support your point,Use evidence from the table not guesses.,ˈevɪdəns,3,academic
analysis,careful study of parts and meaning,Your analysis of the graph is clear.,əˈnæləsɪs,3,academic
summary,short version of the main points,Write a summary in five lines.,ˈsʌməri,2,academic
paraphrase,say the same idea in new words,Paraphrase the definition do not copy it.,ˈpærəfreɪz,4,academic
definition,exact meaning of a word or idea,Learn the definition not only the formula.,ˌdefɪˈnɪʃən,2,academic
concept,main idea in a subject,This concept will come in the viva.,ˈkɒnsept,2,academic
principle,basic rule that something follows,The first principle is to show your working.,ˈprɪnsəpəl,3,academic
formula,rule written with symbols,Keep the formula sheet for last minute revision.,ˈfɔːmjələ,2,academic
equation,math sentence that two sides are equal,Solve the equation step by step.,ɪˈkweɪʒən,3,academic
calculate,find a number using maths,Calculate the average of these five marks.,ˈkælkjəleɪt,2,academic
graph,drawing that shows numbers as lines,Label both axes on the graph.,ɡrɑːf,2,academic
chart,picture that shows numbers clearly,The pie chart shows subject-wise marks.,tʃɑːt,2,academic
table,numbers arranged in rows and columns,Copy the table from the question paper.,ˈteɪbəl,1,academic
diagram,simple drawing that explains something,Draw a diagram of the circuit.,ˈdaɪəɡræm,2,academic
axis,line used as a scale on a graph,Write the units on each axis.,ˈæksɪs,3,academic
variable,value that can change in a problem,Name the variable you are measuring.,ˈveəriəbəl,3,academic
statistics,subject that studies numbers and chance,Statistics is useful for survey work.,stəˈtɪstɪks,3,academic
percentage,amount out of one hundred,What percentage of the class passed?,pəˈsentɪdʒ,2,academic
ratio,comparison of two amounts,Simplify the ratio before you answer.,ˈreɪʃiəʊ,3,academic
estimate,sensible guess of a number,Estimate the answer before you calculate.,ˈestɪmət,2,academic
compare,say how two things are similar,Compare the two methods in one paragraph.,kəmˈpeə,2,academic
contrast,say how two things are different,Contrast last year's result with this one.,ˈkɒntrɑːst,3,academic
evaluate,judge how good something is,Evaluate the method not only the answer.,ɪˈvæljueɪt,3,academic
critique,careful judgment of a piece of work,Write a short critique of the article.,krɪˈtiːk,4,academic
interpret,explain what something means,Interpret the graph in two sentences.,ɪnˈtɜːprɪt,3,academic
infer,reach an idea from the given facts,What can you infer from this table?,ɪnˈfɜː,4,academic
conclude,reach a final judgment,What do you conclude from the experiment?,kənˈkluːd,3,academic
prove,show that something is true,Prove the identity using the first method.,pruːv,3,academic
method,ordered way of doing something,Show the method not only the final number.,ˈmeθəd,2,academic
approach,way you choose to solve a problem,A slower approach may be more accurate.,əˈprəʊtʃ,3,academic
technique,practical skill used to do something,This technique saves time in long sums.,tekˈniːk,3,academic
strategy,plan for how you will study or answer,My exam strategy is easy questions first.,ˈstrætədʒi,3,academic
objective,clear result you want to reach,The objective of this lab is measurement.,əbˈdʒektɪv,3,academic
aim,what you hope to do,The aim of this unit is basic algebra.,eɪm,1,academic
purpose,reason something is done,The purpose of the test is to check basics.,ˈpɜːpəs,2,academic
topic,subject of a class or paper,Pick a topic you can explain simply.,ˈtɒpɪk,1,academic
theme,main idea that runs through a text,The theme of the poem is hope.,θiːm,2,academic
subject,area of study such as maths,Commerce is my main subject.,ˈsʌbdʒɪkt,1,academic
major,main field of study in college,My major is computer applications.,ˈmeɪdʒə,2,academic
minor,second smaller field of study,I took economics as a minor.,ˈmaɪnə,3,academic
elective,optional course you can choose,I chose a spoken language elective.,ɪˈlektɪv,3,academic
core,required course everyone must take,Accounts is a core paper this year.,kɔː,2,academic
foundation,first course that builds basic knowledge,The foundation class starts next week.,faʊnˈdeɪʃən,3,academic
advanced,at a higher and harder level,This is an advanced module in tax.,ədˈvɑːnst,3,academic
basic,at the simple starting level,I still need basic algebra practice.,ˈbeɪsɪk,1,academic
beginner,person just starting to learn,This spoken class is for beginners.,bɪˈɡɪnə,1,academic
intermediate,level between beginner and advanced,I am intermediate in spreadsheet skills.,ˌɪntəˈmiːdiət,3,academic
proficient,able to do something well,I am proficient in two languages.,prəˈfɪʃənt,4,academic
literacy,ability to read and write,Digital literacy is part of the course.,ˈlɪtərəsi,3,academic
numeracy,ability to work with numbers,Numeracy is tested in the entrance paper.,ˈnjuːmərəsi,4,academic
comprehension,ability to understand a text,The comprehension passage is on page two.,ˌkɒmprɪˈhenʃən,3,academic
term,word with a special subject meaning,Learn the term before you use it.,tɜːm,2,academic
phrase,small group of words,Underline the key phrase in the question.,freɪz,2,academic
sentence,group of words with a full meaning,Write the answer in a full sentence.,ˈsentəns,1,academic
spelling,way letters are put in a word,Check the spelling of technical words.,ˈspelɪŋ,1,academic
fluency,ease and flow when you speak,Daily practice improved my fluency.,ˈfluːənsi,3,academic
listening,skill of understanding spoken language,The listening test uses short audio clips.,ˈlɪsənɪŋ,2,academic
speaking,skill of talking in a language,The speaking test is a short conversation.,ˈspiːkɪŋ,1,academic
reading,skill of understanding written text,Reading the question twice saves marks.,ˈriːdɪŋ,1,academic
writing,skill of putting ideas in words,Writing needs a clear first sentence.,ˈraɪtɪŋ,1,academic
translation,changing words from one language to another,Do not depend on word by word translation.,trænzˈleɪʃən,3,academic
language,system of words people use to speak,The language of the class is not local.,ˈlæŋɡwɪdʒ,1,academic
literature,stories poems and plays studied in class,This literature paper has two unseen poems.,ˈlɪtrətʃə,3,academic
science,study of the natural world,I took science in the twelfth year.,ˈsaɪəns,1,academic
commerce,study of business and accounts,Commerce students have an accounts paper.,ˈkɒmɜːs,2,academic
arts,study of humanities and social subjects,She moved from arts to a media course.,ɑːts,2,academic
engineering,study of how to design and build,He is in the second year of engineering.,ˌendʒɪˈnɪərɪŋ,2,academic
management,study of how organisations are run,I want a management course after this degree.,ˈmænɪdʒmənt,2,academic
computer,machine used to store and process data,The computer lab is booked till four.,kəmˈpjuːtə,1,academic
mathematics,study of numbers and shapes,Mathematics is my strongest paper.,ˌmæθəˈmætɪks,2,academic
physics,study of matter energy and motion,The physics numericals need more practice.,ˈfɪzɪks,2,academic
chemistry,study of substances and how they change,Chemistry has a long practical record.,ˈkemɪstri,2,academic
biology,study of living things,Biology diagrams must be labelled clearly.,baɪˈɒlədʒi,2,academic
history,study of the past,This history chapter is on trade routes.,ˈhɪstri,1,academic
geography,study of places land and climate,Geography map work is this week.,dʒiˈɒɡrəfi,2,academic
economics,study of money work and markets,Economics helps in bank exam prep.,ˌiːkəˈnɒmɪks,3,academic
accounting,keeping and checking money records,Accounting entries must always balance.,əˈkaʊntɪŋ,3,academic
psychology,study of how people think and feel,Psychology is an elective this semester.,saɪˈkɒlədʒi,3,academic
law,study of rules a society follows,She wants to study law after graduation.,lɔː,2,academic
medical,related to health and treatment,The medical entrance is highly competitive.,ˈmedɪkəl,2,academic
architecture,study of designing buildings,Architecture students have a studio class.,ˈɑːkɪtektʃə,3,academic
design,plan for how something should look,The design assignment needs three sketches.,dɪˈzaɪn,2,academic
lab,short name for a laboratory,Meet me outside the computer lab.,læb,1,academic
specimen,sample used for study or tests,Handle the specimen with care.,ˈspesɪmən,4,academic
microscope,tool that makes small things look large,Clean the microscope after the practical.,ˈmaɪkrəskəʊp,3,academic
observation,something you notice during a test,Write one observation for each trial.,ˌɒbzəˈveɪʃən,3,academic
finding,result you discover in a study,The main finding is in paragraph three.,ˈfaɪndɪŋ,3,academic
seminar,class where students discuss a topic,I have to present in tomorrow's seminar.,ˈsemɪnɑː,3,academic
webinar,seminar held on the internet,The webinar link will come on mail.,ˈwebɪnɑː,3,academic
online,done through the internet,The extra class is online tonight.,ˌɒnˈlaɪn,1,academic
offline,done in person not on the internet,The test will be offline in the hall.,ˌɒfˈlaɪn,2,academic
distance,study done away from the campus,I did one distance course last year.,ˈdɪstəns,2,academic
correspondence,study done by post or online materials,The correspondence course has weekend contact classes.,ˌkɒrəˈspɒndəns,4,academic
enrolment,act of joining a course,Enrolment closes at the end of this week.,ɪnˈrəʊlmənt,3,academic
admission,being accepted into a college,Admission lists will be on the notice board.,ədˈmɪʃən,2,academic
entrance,exam used to get into a course,The entrance form is still open.,ˈentrəns,2,academic
cut-off,minimum marks needed to get in,The cut-off rose by two marks.,ˈkʌt ɒf,3,academic
merit,high marks that win a seat or award,Seats are given on merit this year.,ˈmerɪt,3,academic
rank,your place in an ordered list of scores,My rank is enough for the local college.,ræŋk,2,academic
counselling,session where seats and courses are allotted,Counselling is in the main hall tomorrow.,ˈkaʊnsəlɪŋ,3,academic
stream,group of subjects you choose in school,I took the commerce stream after tenth.,striːm,2,academic
board,body that sets school exams,The board result will come next month.,bɔːd,2,academic
university,institution that grants degrees,The university posted the revaluation dates.,ˌjuːnɪˈvɜːsəti,2,academic
college,place for higher study after school,My college is a twenty minute bus ride.,ˈkɒlɪdʒ,1,academic
school,place for study before college,I still visit my school teachers.,skuːl,1,academic
classroom,room where a class is held,The classroom fan is not working.,ˈklɑːsruːm,1,academic
blackboard,dark board a teacher writes on,Copy the sums from the blackboard.,ˈblækbɔːd,2,academic
projector,machine that shows slides on a wall,The projector is not connecting today.,prəˈdʒektə,3,academic
slide,one screen in a class presentation,Keep one idea on each slide.,slaɪd,2,academic
handout,paper given to the class,The handout has the practice questions.,ˈhændaʊt,2,academic
photocopy,paper copy of a document,Please take a photocopy of the hall ticket.,ˈfəʊtəʊkɒpi,2,academic
stationery,pens paper and other class supplies,The stationery shop is near the gate.,ˈsteɪʃənri,2,academic
backpack,bag worn on your back,My backpack is too heavy today.,ˈbækpæk,1,academic
timetable,plan of classes by day and time,The new timetable starts next week.,ˈtaɪmteɪbəl,2,academic
period,one class session in the day,The third period is cancelled.,ˈpɪəriəd,1,academic
break,short rest between classes,Meet me in the canteen at break.,breɪk,1,academic
recess,longer break in the school day,Recess is twenty minutes after noon.,rɪˈses,2,academic
canteen,place on campus that sells food,The canteen is full after the lecture.,kænˈtiːn,2,academic
mess,dining hall in a hostel,Hostel mess food is simple but filling.,mes,2,academic
senior,student in a higher year,A senior shared last year's papers.,ˈsiːniə,2,academic
junior,student in a lower year,I will help a junior with the lab record.,ˈdʒuːniə,2,academic
batch,group of students from the same year,Our batch has the exam on the same day.,bætʃ,2,academic
alumni,people who studied at the college before,Alumni came to talk about first jobs.,ˈæljənaɪ,4,academic
convocation,ceremony where degrees are given,Convocation is in the main auditorium.,ˌkɒnvəˈkeɪʃən,4,academic
medal,prize given for a top result,She won a medal for the highest marks.,ˈmedəl,2,academic
distinction,very high pass in an exam,He passed the paper with distinction.,dɪˈstɪŋkʃən,3,academic
qualify,reach the marks needed to go further,I need forty to qualify for the next paper.,ˈkwɒlɪfaɪ,2,academic
reappear,take an exam again after not passing,I will reappear for accounts in the next term.,ˌriːəˈpɪə,3,academic
supplementary,extra exam given after the main one,The supplementary form is at the office.,ˌsʌplɪˈmentəri,4,academic
arrear,paper you still have to pass,I have one arrear from last semester.,əˈrɪə,3,academic
present,in class and marked as attending,Mark me present I reached after the bell.,ˈprezənt,1,academic
group,set of students working together,Our group meets after the last period.,ɡruːp,1,academic
pair,two students working together,Work in a pair for this experiment.,peə,1,academic
peer,person at the same study level,Ask a peer to check your draft.,pɪə,3,academic
debate,formal argument between two sides,I spoke for the motion in the debate.,dɪˈbeɪt,2,academic
quiz,short informal test,There is a surprise quiz in the first period.,kwɪz,1,academic
test,exam that checks what you remember,The unit test is for twenty marks.,test,1,academic
mock,practice exam before the real one,The mock paper was harder than last year.,mɒk,2,academic
oral,spoken not written,The oral exam is five minutes long.,ˈɔːrəl,2,academic
written,done on paper not spoken,The written paper has two sections.,ˈrɪtən,1,academic
coursework,graded work done during the term,Coursework is thirty percent of the grade.,ˈkɔːswɜːk,3,academic
dissertation,long final research paper,The dissertation title needs approval.,ˌdɪsəˈteɪʃən,4,academic
borrow,take a book for a short time,You can borrow two books at a time.,ˈbɒrəʊ,1,academic
renew,keep a library book for longer,I need to renew this book today.,rɪˈnjuː,2,academic
appendix,extra section at the end of a paper,Put the extra tables in the appendix.,əˈpendɪks,4,academic
glossary,list of subject words and meanings,The glossary is at the back of the book.,ˈɡlɒsəri,3,academic
footnote,small note at the bottom of a page,Add a footnote for that source.,ˈfʊtnəʊt,4,academic
morning,early part of the day,I leave home early every morning.,ˈmɔːnɪŋ,1,daily
evening,later part of the day,I cook dinner in the evening.,ˈiːvnɪŋ,1,daily
night,time after evening when it is dark,The last bus leaves at night.,naɪt,1,daily
breakfast,first meal of the day,I eat a light breakfast before the exam.,ˈbrekfəst,1,daily
lunch,meal in the middle of the day,Let us have lunch after the class.,lʌntʃ,1,daily
dinner,main meal in the evening,Dinner will be ready in ten minutes.,ˈdɪnə,1,daily
snack,small food between meals,I packed a snack for the journey.,snæk,1,daily
tea,hot drink often taken with milk,Would you like a cup of tea?,tiː,1,daily
coffee,hot drink made from coffee beans,I need coffee before the first lecture.,ˈkɒfi,1,daily
water,clear liquid we drink,Please drink more water in this heat.,ˈwɔːtə,1,daily
hungry,wanting to eat,I get hungry around four o'clock.,ˈhʌŋɡri,1,daily
thirsty,wanting to drink,I felt thirsty after the walk.,ˈθɜːsti,1,daily
tired,needing rest after work,I feel tired after the night shift.,ˈtaɪəd,1,daily
sleepy,wanting to sleep,I feel sleepy on the early bus.,ˈsliːpi,1,daily
wake,stop sleeping,I wake at six for the metro.,weɪk,1,daily
sleep,rest with your eyes closed,Try to sleep before the morning shift.,sliːp,1,daily
shower,wash your body under falling water,I take a shower before leaving home.,ˈʃaʊə,1,daily
clothes,things you wear,I kept my formal clothes ready.,kləʊðz,1,daily
laundry,clothes that need washing,I will put the laundry out tonight.,ˈlɔːndri,2,daily
iron,make clothes smooth with heat,Please iron this shirt for tomorrow.,ˈaɪən,1,daily
neighbour,person living near you,My neighbour waters the plants when I travel.,ˈneɪbə,1,daily
family,people you are related to,My family lives in a small town.,ˈfæməli,1,daily
parents,your mother and father,My parents supported my job search.,ˈpeərənts,1,daily
sibling,brother or sister,My sibling is still in college.,ˈsɪblɪŋ,2,daily
relative,person in your wider family,A relative is visiting this weekend.,ˈrelətɪv,2,daily
guest,person staying in your home,We have a guest from the village.,ɡest,1,daily
friend,person you like and trust,A friend is picking me up at the station.,frend,1,daily
roommate,person who shares your room,My roommate cooks on weekdays.,ˈruːmmeɪt,2,daily
landlord,person you pay rent to,The landlord will visit this weekend.,ˈlændlɔːd,2,daily
rent,money paid to live in a place,Rent is due in the first week.,rent,1,daily
deposit,money kept as a safety amount,The deposit will come back when I move.,dɪˈpɒzɪt,2,daily
electricity,power used for lights and fans,The electricity went off after the storm.,ɪˌlekˈtrɪsəti,2,daily
bill,paper showing money you must pay,I paid the phone bill online.,bɪl,1,daily
grocery,food bought for the home,I will get grocery after office.,ˈɡrəʊsəri,2,daily
market,place to buy food and goods,The vegetable market opens at six.,ˈmɑːkɪt,1,daily
vegetable,plant food such as beans or greens,We need one more vegetable for dinner.,ˈvedʒtəbəl,1,daily
fruit,sweet plant food such as banana,I packed fruit for the train.,fruːt,1,daily
rice,grain eaten as a main food,There is enough rice for tonight.,raɪs,1,daily
bread,baked food often eaten at breakfast,The bread is still fresh today.,bred,1,daily
spicy,having a hot strong taste,This curry is too spicy for me.,ˈspaɪsi,1,daily
sweet,having a sugary taste,The tea is a little too sweet.,swiːt,1,daily
salty,having a lot of salt,These snacks are too salty.,ˈsɔːlti,1,daily
restaurant,place where you pay to eat,That restaurant is cheap and clean.,ˈrestrɒnt,2,daily
menu,list of food you can order,The menu has a vegetarian section.,ˈmenjuː,1,daily
order,ask for food or goods,I will order rice and dal.,ˈɔːdə,1,daily
tip,extra money for good service,We left a small tip for the waiter.,tɪp,2,daily
crowded,full of too many people,The metro is crowded after office hours.,ˈkraʊdɪd,2,daily
queue,line of people waiting,There is a long queue at the counter.,kjuː,2,daily
wait,stay until something happens,Please wait here for your token.,weɪt,1,daily
late,after the expected time,I was late because of the rain.,leɪt,1,daily
early,before the expected time,Come early to find a seat.,ˈɜːli,1,daily
traffic,cars and buses on the road,Traffic is heavy near the flyover.,ˈtræfɪk,1,daily
bus,large vehicle that carries many people,The bus stop is next to the hospital.,bʌs,1,daily
train,railway vehicle for long trips,The train is running on time today.,treɪn,1,daily
metro,city train that runs often,Take the metro to avoid the traffic.,ˈmetrəʊ,2,daily
auto,three wheel taxi used in cities,An auto will be cheaper at this hour.,ˈɔːtəʊ,1,daily
cab,car taxi you book or stop,I booked a cab to the airport.,kæb,1,daily
walk,go on foot,I walk to the station every day.,wɔːk,1,daily
bicycle,two wheel vehicle you pedal,I go to class on my bicycle.,ˈbaɪsɪkəl,1,daily
helmet,hard hat that protects your head,Wear a helmet on the two wheeler.,ˈhelmɪt,2,daily
fuel,petrol or gas for a vehicle,The fuel line at the pump is long.,ˈfjuːəl,2,daily
station,place where trains or buses stop,I will meet you at the station.,ˈsteɪʃən,1,daily
platform,raised area beside the tracks,The train will arrive on platform two.,ˈplætfɔːm,2,daily
fare,money paid for a ride,The bus fare increased this month.,feə,2,daily
pass,card that lets you travel cheaper,I renewed my monthly metro pass.,pɑːs,2,daily
signal,light that tells traffic to stop or go,Turn left after the next signal.,ˈsɪɡnəl,2,daily
crossing,place where you walk across a road,Use the crossing near the school.,ˈkrɒsɪŋ,2,daily
weather,how hot wet or windy it is,The weather will stay humid this week.,ˈweðə,1,daily
rain,water falling from the sky,Carry a bag that can take rain.,reɪn,1,daily
humidity,amount of water in the air,The humidity makes the commute harder.,hjuːˈmɪdəti,3,daily
sunny,with bright sun,It will be sunny after lunch.,ˈsʌni,1,daily
cloudy,covered with clouds,The sky looks cloudy this morning.,ˈklaʊdi,1,daily
storm,very strong wind and rain,The storm may delay the last bus.,stɔːm,1,daily
umbrella,object that keeps rain off you,I forgot my umbrella at the shop.,ʌmˈbrelə,1,daily
monsoon,season of heavy rain,The monsoon flooded the side road.,ˈmɒnsuːn,2,daily
temperature,how hot or cold it is,The temperature dropped at night.,ˈtemprətʃə,2,daily
fever,high body heat from illness,I stayed home because of a fever.,ˈfiːvə,1,daily
cold,common illness with a blocked nose,I caught a cold in the rain.,kəʊld,1,daily
cough,sudden noise from the throat,This cough is worse at night.,kɒf,1,daily
medicine,pills or syrup taken when ill,Take this medicine after food.,ˈmedsən,1,daily
pharmacy,shop that sells medicine,The pharmacy is open till ten.,ˈfɑːməsi,2,daily
doctor,person who treats illness,The doctor asked me to rest today.,ˈdɒktə,1,daily
hospital,place where sick people are treated,The hospital is a short auto ride.,ˈhɒspɪtəl,1,daily
appointment,booked time to meet someone,My clinic appointment is at five.,əˈpɔɪntmənt,2,daily
headache,pain in the head,The noise gave me a headache.,ˈhedeɪk,1,daily
rest,stop work and relax,Please rest until the fever goes.,rest,1,daily
exercise,activity that keeps the body fit,I do light exercise before breakfast.,ˈeksəsaɪz,2,daily
gym,place with equipment for exercise,The hostel gym closes at nine.,dʒɪm,1,daily
healthy,good for your body,Try a healthy snack instead of chips.,ˈhelθi,1,daily
diet,usual food you eat,A simple diet helps during night shifts.,ˈdaɪət,2,daily
allergy,bad body reaction to food or dust,I have a dust allergy in summer.,ˈælədʒi,2,daily
bank,place that keeps and moves money,I have to visit the bank at lunch.,bæŋk,1,daily
account,record of your money in a bank,My salary goes into this account.,əˈkaʊnt,2,daily
cash,money in notes and coins,The shop takes cash and cards.,kæʃ,1,daily
card,plastic used to pay or withdraw,I lost my card in the metro.,kɑːd,1,daily
transfer,send money to another account,I will transfer the rent tonight.,ˈtrænsfɜː,2,daily
withdraw,take money out of a bank,I need to withdraw cash for the trip.,wɪðˈdrɔː,2,daily
savings,money you keep for later,I put a little into savings each month.,ˈseɪvɪŋz,2,daily
loan,money you borrow and repay,The education loan has a low instalment.,ləʊn,2,daily
instalment,one part of a loan payment,The bike instalment is due tomorrow.,ɪnˈstɔːlmənt,3,daily
balance,money still in your account,Check the balance before you transfer.,ˈbæləns,2,daily
receipt,paper that proves you paid,Keep the receipt for the deposit.,rɪˈsiːt,2,daily
change,money returned after you pay,Please give me the change in coins.,tʃeɪndʒ,1,daily
expensive,costing a lot of money,That paying guest room is too expensive.,ɪkˈspensɪv,2,daily
cheap,costing little money,This canteen meal is cheap and filling.,tʃiːp,1,daily
bargain,get a lower price by talking,You can bargain a little in that market.,ˈbɑːɡɪn,2,daily
shop,place that sells goods,The shop next door has envelopes.,ʃɒp,1,daily
mall,large building with many shops,The mall has a quiet food court.,mɔːl,1,daily
size,how big or small something is,Do you have this shirt in my size?,saɪz,1,daily
colour,red blue green and so on,I need a white shirt not this colour.,ˈkʌlə,1,daily
fitting,trying clothes to check the size,The fitting room is at the back.,ˈfɪtɪŋ,2,daily
return,give an item back to the shop,Can I return this if it is tight?,rɪˈtɜːn,1,daily
exchange,give one item and take another,I want to exchange this for a larger size.,ɪksˈtʃeɪndʒ,2,daily
refund,money given back after a return,The refund will come in three days.,ˈriːfʌnd,2,daily
delivery,bringing goods to your address,The parcel delivery is expected tonight.,dɪˈlɪvəri,2,daily
address,details of where you live,Please share the full address with the driver.,əˈdres,1,daily
pincode,number that shows your postal area,Add the pincode so the parcel arrives.,ˈpɪnkəʊd,2,daily
landmark,known place used to give directions,The landmark is the big water tank.,ˈlændmɑːk,2,daily
direction,information about which way to go,Can you give me the direction to the stop?,dəˈrekʃən,2,daily
lost,not knowing where you are,I got lost after the second turning.,lɒst,1,daily
found,saw something that was missing,I found my keys under the seat.,faʊnd,1,daily
help,do something useful for someone,Could you help me with this bag?,help,1,daily
excuse,reason given for a problem,There is no excuse for missing the last bus.,ɪkˈskjuːs,2,daily
sorry,word you say when you regret something,Sorry I stepped on your bag.,ˈsɒri,1,daily
please,word you add to make a request polite,Please keep my seat for two minutes.,pliːz,1,daily
thanks,word you say to show you are grateful,Thanks for waiting with my luggage.,θæŋks,1,daily
welcome,reply after someone thanks you,You are welcome anytime after class.,ˈwelkəm,1,daily
congratulations,kind words for someone's success,Congratulations on your new job.,kənˌɡrætʃəˈleɪʃənz,2,daily
birthday,day you were born each year,We have a small birthday dinner at home.,ˈbɜːθdeɪ,1,daily
wedding,ceremony when two people marry,The wedding is in our home town.,ˈwedɪŋ,1,daily
festival,special day of celebration,The festival traffic will start tonight.,ˈfestɪvəl,2,daily
holiday,day you do not work or study,The bank is closed for the holiday.,ˈhɒlədeɪ,1,daily
weekend,last two days of the week,I will visit home this weekend.,ˌwiːkˈend,1,daily
vacation,longer time away from work,We took a short vacation after exams.,vəˈkeɪʃən,2,daily
trip,going somewhere and coming back,The temple trip is only one day.,trɪp,1,daily
journey,travel from one place to another,The overnight journey was crowded.,ˈdʒɜːni,2,daily
luggage,bags you take when you travel,Keep your luggage near your seat.,ˈlʌɡɪdʒ,2,daily
booking,reserved ticket or room,I made the train booking last night.,ˈbʊkɪŋ,2,daily
reservation,seat or room kept for you,The reservation is under my name.,ˌrezəˈveɪʃən,3,daily
arrive,reach a place,What time does the bus arrive?,əˈraɪv,1,daily
depart,leave a place,The train will depart in five minutes.,dɪˈpɑːt,2,daily
passenger,person travelling in a vehicle,Each passenger must carry an identity card.,ˈpæsɪndʒə,2,daily
seat,place where you sit,Is this seat free till the next stop?,siːt,1,daily
window,glass opening in a wall or vehicle,I prefer a window seat on the bus.,ˈwɪndəʊ,1,daily
aisle,path between rows of seats,Please keep the aisle clear for people.,aɪl,2,daily
crowd,large group of people,A crowd was waiting at the gate.,kraʊd,1,daily
noise,loud sound that disturbs you,The noise from the road kept me awake.,nɔɪz,1,daily
quiet,with little or no sound,This paying guest is quiet at night.,ˈkwaɪət,1,daily
privacy,being free from other people watching,I need a little privacy for this call.,ˈprɪvəsi,2,daily
