word,meaning,example,ipa,level,category
full-time,job with standard weekly hours,I am looking for a full-time role.,ˌfʊl ˈtaɪm,1,interview
contract,agreement for a fixed period,This is a one year contract role.,ˈkɒntrækt,2,interview
permanent,job with no planned end date,I prefer a permanent position after probation.,ˈpɜːmənənt,2,interview
temporary,job for a short period,It started as a temporary billing role.,ˈtemprəri,2,interview
referral,recommendation from someone inside,I got a referral from a former classmate.,rɪˈfɜːrəl,3,interview
reference,person who can speak about you,Please keep two references ready.,ˈrefrəns,2,interview
recommendation,praise that supports your hiring,Her recommendation helped me get the call.,ˌrekəmenˈdeɪʃən,3,interview
portfolio,collection of your best work,I brought a small portfolio of designs.,pɔːtˈfəʊliəʊ,3,interview
sample,small piece of work you show,This sample shows how I write emails.,ˈsɑːmpəl,2,interview
aptitude,natural ability for a type of work,The aptitude test is tomorrow morning.,ˈæptɪtjuːd,3,interview
assessment,test of your skills,The assessment has typing and a case.,əˈsesmənt,3,interview
screening,first check before a full interview,The screening call lasted fifteen minutes.,ˈskriːnɪŋ,3,interview
round,one stage of the interview process,The next round is with the team lead.,raʊnd,1,interview
technical,about job skills and tools,The technical round covers spreadsheet basics.,ˈteknɪkəl,2,interview
behavioural,about how you act at work,They asked one behavioural question on teamwork.,bɪˈheɪvjərəl,4,interview
situational,about what you would do,The situational question was about an angry caller.,ˌsɪtʃuˈeɪʃənəl,4,interview
hypothetical,imagined situation for discussion,It was a hypothetical question about delay.,ˌhaɪpəˈθetɪkəl,4,interview
situation,the setting of a past event,Let me set the situation in one line.,ˌsɪtʃuˈeɪʃən,2,interview
task,piece of work you had to do,My task was to reduce repeat calls.,tɑːsk,1,interview
action,step you took to solve it,The action I took was a simple checklist.,ˈækʃən,1,interview
result,what happened after you acted,The result was fewer pending tickets.,rɪˈzʌlt,1,interview
disagreement,different views between people,We had a disagreement on the script.,ˌdɪsəˈɡriːmənt,3,interview
pressure,feeling of too much work or time,I work well under time pressure.,ˈpreʃə,2,interview
stress,worry caused by difficult work,I manage stress with a short walk.,stres,2,interview
cope,handle a difficult situation,How do you cope with night shifts?,kəʊp,2,interview
overcome,succeed after a hard problem,I had to overcome my fear of calls.,ˌəʊvəˈkʌm,2,interview
learn,gain a new ability,I learn quickly from live feedback.,lɜːn,1,interview
improve,make your work better,I want to improve my spoken answers.,ɪmˈpruːv,1,interview
develop,grow a skill over time,I want to develop leadership skills.,dɪˈveləp,2,interview
practise,repeat something to get better,I practise answers aloud every night.,ˈpræktɪs,1,interview
mistake,something that did not go as planned,I owned the mistake and fixed the file.,mɪˈsteɪk,1,interview
lesson,useful thing you learned,The lesson was to confirm names twice.,ˈlesən,1,interview
failure,time when a plan did not work,That failure taught me to revise early.,ˈfeɪljə,2,interview
success,reaching the result you wanted,The success came after three dry runs.,səkˈses,1,interview
proud,feeling good about your work,I am proud of my attendance record.,praʊd,1,interview
humble,not boasting about your work,Stay humble even after a good round.,ˈhʌmbəl,2,interview
thank,show you are grateful,I thank the panel for their time.,θæŋk,1,interview
greet,say hello in a polite way,Smile and greet everyone as you enter.,ɡriːt,1,interview
posture,way you sit or stand,Keep an open posture during the interview.,ˈpɒstʃə,2,interview
tone,way your voice sounds,Keep a calm tone even if you disagree.,təʊn,1,interview
filler,extra sound like um while speaking,I am trying to use fewer filler sounds.,ˈfɪlə,3,interview
rephrase,say the same idea in new words,Let me rephrase that more simply.,ˌriːˈfreɪz,3,interview
elaborate,give more detail on a point,Could you elaborate on your project role?,ɪˈlæbəreɪt,3,interview
specify,say exactly what you mean,Please specify the tools you have used.,ˈspesɪfaɪ,3,interview
quantify,give a number for your result,Try to quantify the time you saved.,ˈkwɒntɪfaɪ,4,interview
figure,number that shows a result,That figure dropped after we changed the script.,ˈfɪɡə,2,interview
rate,speed or amount of something,Our closing rate improved that month.,reɪt,2,interview
reduced,made smaller in size or cost,We reduced waiting time by ten minutes.,rɪˈdjuːst,2,interview
increased,made larger in size or amount,Calls increased during the festival week.,ɪnˈkriːst,2,interview
saved,kept money or time from waste,That sheet saved the team an hour daily.,seɪvd,1,interview
delivered,finished and handed over work,I delivered the report before the call.,dɪˈlɪvəd,2,interview
led,guided a group of people,I led a five member campus team.,led,1,interview
handled,dealt with a task or problem,I handled angry callers with a calm script.,ˈhændəld,2,interview
resolved,found a way to close a problem,I resolved the billing issue the same day.,rɪˈzɒlvd,2,interview
implemented,put a plan into real use,We implemented a simple reminder for follow ups.,ˈɪmplɪmentɪd,4,interview
launched,started a product or project,The team launched a new help page.,lɔːntʃt,3,interview
designed,planned how something should work,I designed a basic tracking sheet.,dɪˈzaɪnd,2,interview
created,made something new,I created a checklist for new joiners.,kriˈeɪtɪd,1,interview
built,made a system or process,We built a simple FAQ for the team.,bɪlt,1,interview
tested,checked that something works,I tested the form before going live.,ˈtestɪd,1,interview
analysed,studied data to find meaning,I analysed weekly complaint numbers.,ˈænəlaɪzd,3,interview
identified,found the main problem,I identified the step causing delay.,aɪˈdentɪfaɪd,3,interview
recommended,suggested a useful action,I recommended a shorter greeting script.,ˌrekəˈmendɪd,3,interview
presented,showed work to other people,I presented the findings to my supervisor.,prɪˈzentɪd,2,interview
facilitated,helped a group get work done,I facilitated a small campus workshop.,fəˈsɪlɪteɪtɪd,4,interview
supervised,watched and guided other workers,I supervised two juniors during the fest.,ˈsuːpəvaɪzd,3,interview
trained,taught someone how to do work,I trained a new intern on the tool.,treɪnd,2,interview
coached,helped someone improve with advice,A senior coached me before the panel.,kəʊtʃt,3,interview
motivated,helped others want to work well,My mentor motivated me to apply again.,ˈməʊtɪveɪtɪd,3,interview
inspired,filled others with energy to try,Her story inspired me to keep practising.,ɪnˈspaɪəd,2,interview
culture,way people behave in a company,I like a culture of helping new joiners.,ˈkʌltʃə,2,interview
values,beliefs that guide how you work,Honesty is one of my core values.,ˈvæljuːz,2,interview
ethics,rules about right and fair action,Work ethics matter more than speed alone.,ˈeθɪks,3,interview
integrity,doing the right thing even unseen,Integrity means reporting the extra cash.,ɪnˈteɡrəti,4,interview
respect,treating others with care,I treat every caller with respect.,rɪˈspekt,1,interview
diversity,mix of different kinds of people,Diversity in a team brings more ideas.,daɪˈvɜːsəti,3,interview
inclusion,making everyone feel they belong,Inclusion means new people get a buddy.,ɪnˈkluːʒən,4,interview
environment,the place and feel of work,I want a calm learning environment.,ɪnˈvaɪrənmənt,2,interview
fit,being a good match for the team,I think I am a good fit for nights.,fɪt,1,interview
long-term,planned for a long time,I am looking for a long-term role.,ˌlɒŋ ˈtɜːm,2,interview
short-term,planned for a near time,My short-term goal is to join a team.,ˌʃɔːt ˈtɜːm,2,interview
plan,steps you want to follow,My plan is to grow into a team lead.,plæn,1,interview
vision,picture of where you want to go,Their vision of fair work attracted me.,ˈvɪʒən,3,interview
mission,main purpose of the company,Your mission to help small shops matches me.,ˈmɪʃən,2,interview
reason,why you want this job,My reason is the learning and the shift.,ˈriːzən,1,interview
join,start working with a company,I can join within thirty days.,dʒɔɪn,1,interview
start,begin the new job,I can start after my final exam.,stɑːt,1,interview
immediately,without waiting,I can join immediately after the offer.,ɪˈmiːdiətli,2,interview
currently,at this time,I am currently finishing my degree.,ˈkʌrəntli,2,interview
recently,a short time ago,I recently completed a sales internship.,ˈriːsəntli,2,interview
previously,at an earlier time,I previously worked in a campus store.,ˈpriːviəsli,3,interview
besides,in addition to that,Besides support I can help with billing.,bɪˈsaɪdz,2,interview
however,showing a different side,I am new however I learn very fast.,haʊˈevə,2,interview
therefore,for that reason,The queue grew therefore I stayed back.,ˈðeəfɔː,3,interview
overall,looking at everything together,Overall the internship taught me patience.,ˌəʊvərˈɔːl,2,interview
specifically,in a more exact way,Specifically I handled billing queries.,spəˈsɪfɪkli,3,interview
honestly,speaking in a truthful way,Honestly I still get nervous on stage.,ˈɒnɪstli,2,interview
personally,from my own view,Personally I prefer morning shifts.,ˈpɜːsənəli,2,interview
ideally,in the best possible case,Ideally I would like to grow in sales.,aɪˈdɪəli,3,interview
definitely,without any doubt,I can definitely work on weekends.,ˈdefɪnətli,2,interview
certainly,yes with no doubt,I can certainly relocate if needed.,ˈsɜːtənli,2,interview
fluent,able to speak easily and clearly,I am fluent in two languages.,ˈfluːənt,2,interview
pronunciation,how you say the sounds of words,I am improving my pronunciation daily.,prəˌnʌnsiˈeɪʃən,3,interview
articulate,able to express ideas clearly,She gave an articulate answer on teamwork.,ɑːˈtɪkjələt,4,interview
clear,easy to understand,Keep your first sentence clear and short.,klɪə,1,interview
polite,showing good manners in speech,Stay polite even if the question is hard.,pəˈlaɪt,1,interview
professional,behaving in a serious work way,Keep a professional tone on the call.,prəˈfeʃənəl,2,interview
formal,using careful official language,Use formal language with the panel.,ˈfɔːməl,2,interview
casual,relaxed everyday way of speaking,Keep answers warm but not too casual.,ˈkæʒuəl,2,interview
attire,clothes you wear for work,Wear simple formal attire for the round.,əˈtaɪə,3,interview
appearance,how you look to other people,A neat appearance shows you take care.,əˈpɪərəns,2,interview
smile,happy look on your face,A small smile helps you sound warmer.,smaɪl,1,interview
handshake,greeting by holding someone's hand,Give a firm handshake if they offer one.,ˈhændʃeɪk,2,interview
eye-contact,looking at someone while you speak,Keep gentle eye-contact with the panel.,ˈaɪ ˌkɒntækt,2,interview
body-language,messages shown by face and posture,Open body-language makes you look ready.,ˈbɒdi ˌlæŋɡwɪdʒ,3,interview
impression,feeling others get about you,A calm greeting makes a good impression.,ɪmˈpreʃən,2,interview
self-aware,knowing your strengths and limits,I am self-aware about my weak formulas.,ˌself əˈweə,4,interview
calm,not showing panic,I stay calm when the queue is long.,kɑːm,1,interview
patient,able to wait without getting angry,A support role needs a patient person.,ˈpeɪʃənt,1,interview
resilient,able to recover after a setback,I stayed resilient after the first rejection.,rɪˈzɪliənt,4,interview
resourceful,good at finding a useful way,I am resourceful when the system is down.,rɪˈsɔːsfəl,3,interview
willing,ready to do something,I am willing to work rotating shifts.,ˈwɪlɪŋ,1,interview
eager,wanting to start with energy,I am eager to learn the product fast.,ˈiːɡə,2,interview
keen,very interested in doing something,I am keen to join the night team.,kiːn,2,interview
organised,keeping work and time in order,I stay organised with a daily list.,ˈɔːɡənaɪzd,2,interview
